emp_id	date_of_joining	quarter_of_joining	half_of_joining	year_of_joining	month_of_joining	month_name_of_joining	short_month	day_of_joining	dow_of_joining	short_dow	age_in_company_years
457036	3/21/2016	Q1	H1	2016	3	March	Mar	21	Monday	Mon	1.35
406265	1/4/2011	Q1	H1	2011	1	January	Jan	4	Tuesday	Tue	6.57
408650	6/10/2007	Q2	H1	2007	6	June	Jun	10	Sunday	Sun	10.14
907585	2/12/2013	Q1	H1	2013	2	February	Feb	12	Tuesday	Tue	4.46
482529	11/8/2010	Q4	H2	2010	11	November	Nov	8	Monday	Mon	6.72
885402	11/10/1995	Q4	H2	1995	11	November	Nov	10	Friday	Fri	21.73
924633	5/11/2006	Q2	H1	2006	5	May	May	11	Thursday	Thu	11.22
469997	5/3/2008	Q2	H1	2008	5	May	May	3	Saturday	Sat	9.24
123953	12/23/2009	Q4	H2	2009	12	December	Dec	23	Wednesday	Wed	7.6
873703	4/20/2017	Q2	H1	2017	4	April	Apr	20	Thursday	Thu	0.27
922963	9/16/2011	Q3	H2	2011	9	September	Sep	16	Friday	Fri	5.87
817305	5/9/2009	Q2	H1	2009	5	May	May	9	Saturday	Sat	8.22
229262	7/10/2009	Q3	H2	2009	7	July	Jul	10	Friday	Fri	8.05
988654	3/12/2017	Q1	H1	2017	3	March	Mar	12	Sunday	Sun	0.38
150437	8/30/2005	Q3	H2	2005	8	August	Aug	30	Tuesday	Tue	11.92
137974	5/12/2015	Q2	H1	2015	5	May	May	12	Tuesday	Tue	2.21
839764	11/6/2010	Q4	H2	2010	11	November	Nov	6	Saturday	Sat	6.73
208681	10/29/2015	Q4	H2	2015	10	October	Oct	29	Thursday	Thu	1.75
772226	12/27/1990	Q4	H2	1990	12	December	Dec	27	Thursday	Thu	26.6
599463	8/12/2005	Q3	H2	2005	8	August	Aug	12	Friday	Fri	11.97
281571	4/5/2006	Q2	H1	2006	4	April	Apr	5	Wednesday	Wed	11.32
336912	4/29/2006	Q2	H1	2006	4	April	Apr	29	Saturday	Sat	11.25
522947	5/13/2012	Q2	H1	2012	5	May	May	13	Sunday	Sun	5.21
321508	1/29/1999	Q1	H1	1999	1	January	Jan	29	Friday	Fri	18.51
795696	7/15/2017	Q3	H2	2017	7	July	Jul	15	Saturday	Sat	0.04
536421	6/28/2013	Q2	H1	2013	6	June	Jun	28	Friday	Fri	4.08
162309	2/1/2014	Q1	H1	2014	2	February	Feb	1	Saturday	Sat	3.49
929080	1/25/2017	Q1	H1	2017	1	January	Jan	25	Wednesday	Wed	0.5
557680	1/30/1998	Q1	H1	1998	1	January	Jan	30	Friday	Fri	19.5
742825	10/22/2012	Q4	H2	2012	10	October	Oct	22	Monday	Mon	4.77
857200	3/6/2006	Q1	H1	2006	3	March	Mar	6	Monday	Mon	11.4
275955	3/9/2000	Q1	H1	2000	3	March	Mar	9	Thursday	Thu	17.4
915723	2/28/1996	Q1	H1	1996	2	February	Feb	28	Wednesday	Wed	21.43
691542	10/2/1982	Q4	H2	1982	10	October	Oct	2	Saturday	Sat	34.84
946498	4/28/2003	Q2	H1	2003	4	April	Apr	28	Monday	Mon	14.26
593831	7/22/2017	Q3	H2	2017	7	July	Jul	22	Saturday	Sat	0.02
255982	10/14/2005	Q4	H2	2005	10	October	Oct	14	Friday	Fri	11.79
694220	1/7/2015	Q1	H1	2015	1	January	Jan	7	Wednesday	Wed	2.56
870453	1/20/2012	Q1	H1	2012	1	January	Jan	20	Friday	Fri	5.52
149860	2/23/1990	Q1	H1	1990	2	February	Feb	23	Friday	Fri	27.44
996962	4/10/2016	Q2	H1	2016	4	April	Apr	10	Sunday	Sun	1.3
920671	11/16/2008	Q4	H2	2008	11	November	Nov	16	Sunday	Sun	8.7
997123	5/12/2006	Q2	H1	2006	5	May	May	12	Friday	Fri	11.22
613719	4/25/2016	Q2	H1	2016	4	April	Apr	25	Monday	Mon	1.26
698791	8/6/2015	Q3	H2	2015	8	August	Aug	6	Thursday	Thu	1.98
569298	11/10/1992	Q4	H2	1992	11	November	Nov	10	Tuesday	Tue	24.73
