"OBJECTID";"FECHA_OCURRENCIA_ACC";"ANO_OCURRENCIA_ACC";"FORMULARIO";"CLASE_ACC"
326421;"2020/02/13 00:00:00+00";2020;"A001132495";"CHOQUE"
326429;"2020/02/13 00:00:00+00";2020;"A001133093";"CHOQUE"
326431;"2020/02/13 00:00:00+00";2020;"A001133587";"CHOQUE"
326438;"2020/02/13 00:00:00+00";2020;"A001132704";"CHOQUE"
326441;"2020/02/13 00:00:00+00";2020;"A001131778";"CHOQUE"
326442;"2020/02/12 00:00:00+00";2020;"A001133305";"CHOQUE"
326444;"2020/02/14 00:00:00+00";2020;"A001133452";"CHOQUE"
326448;"2020/02/13 00:00:00+00";2020;"A001133424";"CAIDA DE OCUPANTE"
326453;"2020/02/14 00:00:00+00";2020;"A001132467";"VOLCAMIENTO"
326454;"2020/02/13 00:00:00+00";2020;"A001133776";"CHOQUE"
354551;"2020/01/24 00:00:00+00";2020;"A001127971";"CHOQUE"
354552;"2020/04/24 00:00:00+00";2020;"A001128303";"CHOQUE"
354553;"2020/04/22 00:00:00+00";2020;"A001127884";"CHOQUE"
354554;"2020/04/25 00:00:00+00";2020;"A001128367";"CHOQUE"
354555;"2020/04/23 00:00:00+00";2020;"A001127574";"CHOQUE"
354556;"2020/04/23 00:00:00+00";2020;"A001127790";"CHOQUE"
354557;"2020/04/25 00:00:00+00";2020;"A001127851";"CHOQUE"
354558;"2020/04/24 00:00:00+00";2020;"A001128258";"CHOQUE"
354559;"2020/04/24 00:00:00+00";2020;"A001128340";"CHOQUE"
354560;"2020/04/26 00:00:00+00";2020;"A001128281";"CHOQUE"
354561;"2020/04/25 00:00:00+00";2020;"A001128275";"CHOQUE"
354562;"2020/04/26 00:00:00+00";2020;"A001128282";"CHOQUE"
354563;"2020/04/26 00:00:00+00";2020;"A001128296";"CHOQUE"
354564;"2020/04/19 00:00:00+00";2020;"A001133629";"CHOQUE"
354630;"2020/01/11 00:00:00+00";2020;"A001130826";"CHOQUE"
354631;"2020/01/11 00:00:00+00";2020;"A001130576";"CHOQUE"
354632;"2020/01/12 00:00:00+00";2020;"A001130656";"CHOQUE"
354633;"2020/01/12 00:00:00+00";2020;"A001130464";"CHOQUE"
354634;"2020/01/11 00:00:00+00";2020;"A001130575";"CHOQUE"
354635;"2020/01/12 00:00:00+00";2020;"A001130724";"CHOQUE"
354636;"2020/01/12 00:00:00+00";2020;"A001129783";"CHOQUE"
354637;"2020/01/03 00:00:00+00";2020;"A001127336";"CHOQUE"
354638;"2020/01/03 00:00:00+00";2020;"A001130134";"CHOQUE"
354639;"2020/01/03 00:00:00+00";2020;"A001130049";"CHOQUE"
354640;"2020/01/03 00:00:00+00";2020;"A001127015";"CHOQUE"
354641;"2020/01/03 00:00:00+00";2020;"A001128826";"CHOQUE"
354642;"2020/01/03 00:00:00+00";2020;"A001130024";"CHOQUE"
354643;"2020/01/03 00:00:00+00";2020;"A001129999";"CHOQUE"
354644;"2020/01/03 00:00:00+00";2020;"A001129127";"CHOQUE"
354645;"2020/01/11 00:00:00+00";2020;"A001127494";"CHOQUE"
354646;"2020/01/11 00:00:00+00";2020;"A001130564";"CHOQUE"
354647;"2020/01/11 00:00:00+00";2020;"A001130777";"CHOQUE"
354656;"2020/01/03 00:00:00+00";2020;"A001130247";"CHOQUE"
354657;"2020/01/07 00:00:00+00";2020;"A001130341";"ATROPELLO"
354658;"2020/01/03 00:00:00+00";2020;"A001129985";"ATROPELLO"
354659;"2020/01/06 00:00:00+00";2020;"A001129867";"CHOQUE"
354660;"2020/01/04 00:00:00+00";2020;"A001129207";"CAIDA DE OCUPANTE"
354661;"2020/01/06 00:00:00+00";2020;"A001129428";"CHOQUE"
354662;"2020/01/06 00:00:00+00";2020;"A001062293";"CHOQUE"
354663;"2020/01/07 00:00:00+00";2020;"A001129295";"CHOQUE"
354664;"2020/01/01 00:00:00+00";2020;"A001130058";"CHOQUE"
354665;"2020/01/07 00:00:00+00";2020;"A001129904";"ATROPELLO"
354666;"2020/01/07 00:00:00+00";2020;"A001127457";"CHOQUE"
354667;"2020/01/01 00:00:00+00";2020;"A001129182";"CHOQUE"
354668;"2020/01/02 00:00:00+00";2020;"A001130215";"CHOQUE"
354669;"2020/01/01 00:00:00+00";2020;"A001129885";"CHOQUE"
