OBJECTID	FORMULARIO	GRAVEDAD	CLASE_ACC
326421	A001132495	SOLO DANOS	CHOQUE
326429	A001133093	SOLO DANOS	CHOQUE
326431	A001133587	SOLO DANOS	CHOQUE
326438	A001132704	SOLO DANOS	CHOQUE
326441	A001131778	SOLO DANOS	CHOQUE
326442	A001133305	SOLO DANOS	CHOQUE
326444	A001133452	SOLO DANOS	CHOQUE
326448	A001133424	CON HERIDOS	CAIDA DE OCUPANTE
326453	A001132467	CON HERIDOS	VOLCAMIENTO
326454	A001133776	CON HERIDOS	CHOQUE
354551	A001127971	CON HERIDOS	CHOQUE
354552	A001128303	CON HERIDOS	CHOQUE
354553	A001127884	SOLO DANOS	CHOQUE
354554	A001128367	CON HERIDOS	CHOQUE
354555	A001127574	SOLO DANOS	CHOQUE
354556	A001127790	SOLO DANOS	CHOQUE
354557	A001127851	SOLO DANOS	CHOQUE
354558	A001128258	SOLO DANOS	CHOQUE
354559	A001128340	SOLO DANOS	CHOQUE
354560	A001128281	SOLO DANOS	CHOQUE
354561	A001128275	SOLO DANOS	CHOQUE
354562	A001128282	SOLO DANOS	CHOQUE
354563	A001128296	SOLO DANOS	CHOQUE
354564	A001133629	CON HERIDOS	CHOQUE
354630	A001130826	SOLO DANOS	CHOQUE
354631	A001130576	SOLO DANOS	CHOQUE
354632	A001130656	SOLO DANOS	CHOQUE
354633	A001130464	SOLO DANOS	CHOQUE
354634	A001130575	SOLO DANOS	CHOQUE
354635	A001130724	SOLO DANOS	CHOQUE
354636	A001129783	SOLO DANOS	CHOQUE
354637	A001127336	SOLO DANOS	CHOQUE
354638	A001130134	SOLO DANOS	CHOQUE
354639	A001130049	SOLO DANOS	CHOQUE
354640	A001127015	SOLO DANOS	CHOQUE
354641	A001128826	SOLO DANOS	CHOQUE
354642	A001130024	SOLO DANOS	CHOQUE
354643	A001129999	SOLO DANOS	CHOQUE
354644	A001129127	SOLO DANOS	CHOQUE
354645	A001127494	SOLO DANOS	CHOQUE
354646	A001130564	SOLO DANOS	CHOQUE
354647	A001130777	SOLO DANOS	CHOQUE
354656	A001130247	CON HERIDOS	CHOQUE
354657	A001130341	CON MUERTOS	ATROPELLO
354658	A001129985	CON HERIDOS	ATROPELLO
354659	A001129867	CON HERIDOS	CHOQUE
354660	A001129207	CON HERIDOS	CAIDA DE OCUPANTE
354661	A001129428	CON HERIDOS	CHOQUE
354662	A001062293	CON HERIDOS	CHOQUE
354663	A001129295	CON HERIDOS	CHOQUE
354664	A001130058	SOLO DANOS	CHOQUE
354665	A001129904	CON HERIDOS	ATROPELLO
354666	A001127457	CON HERIDOS	CHOQUE
354667	A001129182	SOLO DANOS	CHOQUE
354668	A001130215	SOLO DANOS	CHOQUE
354669	A001129885	SOLO DANOS	CHOQUE
354670	A001128982	SOLO DANOS	CHOQUE
354671	A001129910	SOLO DANOS	CHOQUE
354704	A001130417	SOLO DANOS	CHOQUE
354710	A001133598	CON HERIDOS	ATROPELLO
354711	A001133359	CON HERIDOS	CHOQUE
354712	A001130579	SOLO DANOS	CHOQUE
354713	A001133101	SOLO DANOS	CHOQUE
354714	A001133814	SOLO DANOS	CHOQUE
354715	A001134697	SOLO DANOS	CHOQUE
354716	A001134675	SOLO DANOS	CHOQUE
354717	A001135451	SOLO DANOS	CHOQUE
354718	A001134915	CON HERIDOS	CAIDA DE OCUPANTE
354719	A001132555	CON HERIDOS	CHOQUE
354720	A001134750	CON HERIDOS	CHOQUE
354721	A001135553	SOLO DANOS	CHOQUE
354722	A001134987	SOLO DANOS	CHOQUE
354723	A001135364	SOLO DANOS	CHOQUE
354724	A001134614	SOLO DANOS	CHOQUE
354725	A001135297	SOLO DANOS	CHOQUE
354726	A001134602	SOLO DANOS	CHOQUE
354727	A001135298	SOLO DANOS	CHOQUE
354728	A001134385	SOLO DANOS	CHOQUE
354729	A001134143	CON HERIDOS	CAIDA DE OCUPANTE
354730	A001135289	CON HERIDOS	CHOQUE
354731	A001134627	CON HERIDOS	CHOQUE
354732	A001135334	CON HERIDOS	CHOQUE
354733	A001135221	CON HERIDOS	ATROPELLO
354734	A001135314	SOLO DANOS	CHOQUE
354735	A001134963	SOLO DANOS	CHOQUE
354736	A001134763	SOLO DANOS	CHOQUE
354737	A001135394	SOLO DANOS	CHOQUE
354738	A001134764	SOLO DANOS	CHOQUE
354739	A001133953	SOLO DANOS	CHOQUE
354740	A001134640	SOLO DANOS	CHOQUE
354741	A001134711	SOLO DANOS	CHOQUE
354742	A001135086	SOLO DANOS	CHOQUE
