"artists","Mean(duration_ms)"
"21 Savage",194872.5
"24kGoldn",158423.66666666666
"347aidan",180139
"5 Seconds of Summer",203418
"AC/DC",252257.66666666666
"Alec Benjamin",169354
"Alexander 23",184638
"Ali Gatie",212607
"Andy Williams",151933
"Anne-Marie",186987
"Anuel AA",246000
"Arctic Monkeys",205824.66666666666
"Ariana Grande",190763.1111111111
"Arizona Zervas",163636
"Ashnikko",146523
"Ava Max",174917.5
"Avicii",212042.5
"BENEE",223480
"BLACKPINK",180947
"BROCKHAMPTON",204533
"BTS",220577.10000000003
"Bad Bunny",186822.69999999998
"Becky G",206167
"Big Sean",199758
"Billie Eilish",213803.5
"Black Eyed Peas",222118.5
"Bobby Helms",130973
"Bon Jovi",249293
"Boza",186133
"Brenda Lee",126267
"Brent Faiyaz",202750.5
"Bruno Mars",218682.75
"BØRNS",218107
"CJ",123429
"CORPSE",105176
"Cali Y El Dandee",174027
"Calum Scott",232305.5
"Calvin Harris",214847
"Camila Cabello",194026.5
"Camilo",193067
"Cardi B",220465.5
"Childish Gambino",326933
"Chord Overstreet",198853
"Chris Brown",218800
"Christian Nodal",171360
"Clairo",188387
"Coldplay",290635.3333333333
"Conan Gray",191906.5
"Coolio",240693
"Creedence Clearwater Revival",140773
"DDG",170233
"DJ Khaled",209561.5
"DJ Snake",205947
"DaBaby",154678.3333333333
"Daddy Yankee",275893
"Dan + Shay",167693
"Dayglow",278769
"Dean Lewis",196373
"Dean Martin",117147
"Doja Cat",199706.66666666666
"Don Toliver",161170
"Drake",226687.99999999997
"Dua Lipa",198059.50000000003
"Duncan Laurence",183624
"Dynoro",184560
"Eagles",391376
"Ed Sheeran",231060.125
"El Fantasma",142065
"Elton John",281613
"Eminem",257387.2
"Erik Eriksson",90228
"Fall Out Boy",228360
"Farruko",180520
"Fleetwood Mac",257800
"Flow La Movie",204180
"Foster The People",239600
"Fousheé",141224
"Frank Ocean",210285
"Frank Sinatra",155453
"Future",225627.5
"G Herbo",232065
"Gabby Barrett",210773
"Glass Animals",238805
"Gorillaz",222640
"Grouplove",218013
"Grover Washington, Jr.",237106
"Gunna",197760
"HVME",163208
"Halsey",201661
"Harry Styles",234176
"Hippie Sabotage",131272
"Imagine Dragons",213376.75
"Internet Money",195429
"J Balvin",226919.66666666666
"J. Cole",253290.5
"JACKBOYS",157712
"JP Saxe",208687
"Jack Harlow",184294
"James Arthur",210147
"Jason Derulo",191613.5
"Jason Mraz",242187
"Jawsh 685",171375
"Jax Jones",172143
