"id"	"release_date"	"name"	"popularity"
"7lPN2DXiMsVn7XUKtOW1CS"	"2021-01-08"	"drivers license"	100
"3tjFYV6RSFtuktYl3ZtYcq"	"2020-07-24"	"Mood (feat. iann dior)"	96
"35mvY5S1H3J2QZyna3TFe0"	"2020-10-30"	"positions"	96
"47EiUVwUp4C9fGccaPuUCS"	"2020-10-30"	"DÁKITI"	95
"7vrJn5hDSXRmdXoR30KgF1"	"2020-10-23"	"BICHOTA"	95
"6Im9k8u9iIzKMrmV7BWtlF"	"2020-10-30"	"34+35"	94
"5vGLcdRuSbUhD8ScwsGSdA"	"2020-08-20"	"Whoopty"	94
"27OeeYzk6klgBh83TSvGMA"	"2020-11-06"	"WITHOUT YOU"	94
"54bFM56PmE4YLRnqpW6Tha"	"2020-11-12"	"Therefore I Am"	94
"2XIc1pqjXV3Cr2BQUGNBck"	"2020-11-27"	"LA NOCHE DE ANOCHE"	94
"45bE4HXI0AwGZXfZtMp8JR"	"2020-04-17"	"you broke me first"	93
"1tkg4EHVoqnhR6iFEXb60y"	"2020-07-03"	"What You Know Bout Love"	93
"6f3Slt0GbA2bPZlz0aIFXN"	"2020-09-16"	"The Business"	92
"3VvA1wSxukMLsvXoXtlwWx"	"2020-07-31"	"Hecha Pa' Mi"	92
"6zFMeegAMYQo0mt8rXtrli"	"2020-11-13"	"HOLIDAY"	92
"4Oun2ylbjFKMPTiaSbbCih"	"2020-08-07"	"WAP (feat. Megan Thee Stallion)"	92
"4y4spB9m0Q6026KfkAvy9Q"	"2020-10-16"	"Lonely (with benny blanco)"	92
"31qCy5ZaophVA81wtlwLc4"	"2021-01-01"	"Anyone"	92
"2Z8yfpFX0ZMavHkcIeHiO1"	"2020-11-20"	"Monster (Shawn Mendes & Justin Bieber)"	91
"3YJJjQPAbDT7mGpX3WtQ9A"	"2020-12-25"	"Good Days"	91
"7ndTONDDRFGiPnnhOzOXxq"	"2020-10-08"	"La Nota"	91
"7uoFMmxln0GPXQ0AcCBXRq"	"2018-11-01"	"Snowman"	91
"0PvFJmanyNQMseIFrU708S"	"2020-07-03"	"For The Night (feat. Lil Baby & DaBaby)"	91
"4xqrdfXkTW4T0RauPLv3WA"	"2020-03-20"	"Heather"	91
"7ytR5pFWmSjzHJIeQkgog4"	"2020-04-17"	"ROCKSTAR (feat. Roddy Ricch)"	91
"6UelLqGlWMcVH1E5c4H7lY"	"2019-12-13"	"Watermelon Sugar"	91
"4saklk6nie3yiGePpBwUoc"	"2020-11-20"	"Dynamite"	91
"249gnXrbfmV8NG6jTEMSwD"	"2020-11-20"	"Life Goes On"	91
"6cx06DFPPHchuUAcTxznu9"	"2020-07-03"	"Head & Heart (feat. MNEK)"	91
"1xK1Gg9SxG8fy2Ya373oqb"	"2020-12-10"	"Bandido"	91
"4MzXwWMhyBbmu6hOcLVD49"	"2020-11-27"	"DÁKITI"	91
"5RubKOuDoPn5Kj5TLVxSxY"	"2020-11-27"	"TE MUDASTE"	90
"0E4Y1XIbs8GrAT1YqVy6dq"	"2020-12-21"	"Afterglow"	90
"5u1n1kITHCxxp8twBcZxWy"	"2020-09-18"	"Holy (feat. Chance The Rapper)"	90
"35UUpTmrcFXNIVIN26ujXl"	"2020-09-04"	"Relación - Remix"	90
"463CkQjx2Zk1yXoBuierM9"	"2020-10-01"	"Levitating (feat. DaBaby)"	90
"02kDW379Yfd5PzW5A6vuGt"	"2020-08-14"	"Lemonade"	90
"73nAK3HgQK8dak83Y2WQ8F"	"2020-09-21"	"Vida de Rico"	90
"20McUFi8KCIVdNDLrkTDuZ"	"2020-06-12"	"Goosebumps"	90
"6ft4hAq6yde8jPZY2i5zLr"	"2020-10-30"	"Paradise (feat. Dermot Kennedy)"	90
"0bYg9bo50gSsH3LtXe2SQn"	"1994-11-01"	"All I Want for Christmas Is You"	90
"15OjBeqNX3bShsGYQbteRv"	"2020-07-24"	"La Tóxica"	90
"21N4Buj4xsyLb218lYle61"	"2020-10-16"	"Chica Ideal"	90
"7qEHsqek33rTcFNT9PFqLf"	"2019-05-17"	"Someone You Loved"	90
"2QjOHCTQ1Jl3zawyYOpxh6"	"2013-04-19"	"Sweater Weather"	89
"6AGOKlMZWLCaEJGnaROtF9"	"2020-04-24"	"Put Your Records On"	89
"0lx2cLdOt3piJbcaXIV74f"	"2020-12-11"	"willow"	89
"0nbXyq5TXYPCO7pr3N8S4I"	"2019-12-06"	"The Box"	89
"2bgcUk2A3jjKbCJ7KPquTi"	"2020-09-23"	"Mi Niña"	89
"21jGcNKet2qwijlDFuPiPb"	"2019-09-06"	"Circles"	89
"7eJMfftS33KTjuF7lTsMCx"	"2020-02-08"	"death bed (coffee for your head)"	89
"0EhpEsp4L0oRGM0vmeaN5e"	"2020-07-24"	"UN DIA (ONE DAY) (Feat. Tainy)"	89
"4HYDUMY0xSpeBr0AMY9cUz"	"2020-06-12"	"La Curiosidad"	89
"2SAqBLGA283SUiwJ3xOUVI"	"2020-08-14"	"Laugh Now Cry Later (feat. Lil Durk)"	89
"11EnQRgRMJwMAesfkB5pnu"	"2020-09-02"	"Se Te Nota (with Guaynaa)"	89
"3H7ihDc1dqLriiWXwsc2po"	"2019-12-19"	"Breaking Me"	89
"59qrUpoplZxbIZxk6X0Bm3"	"2020-07-22"	"Take You Dancing"	89
"5y7DaS3jAc9eZzcSOoUIwU"	"2020-09-04"	"Una Locura"	89
"7D7EH7MGyNHWSkqrszerI1"	"2020-11-25"	"BEBÉ"	89
"7r9ZhitdQBONTFOiJW5mr8"	"2020-10-22"	"Reloj"	89
"2XU0oxnq2qxCpomAAuJY8K"	"2019-10-17"	"Dance Monkey"	89
"5JqZ3oqF00jkT81foAFvqg"	"2020-11-20"	"Prisoner (feat. Dua Lipa)"	89
"45S5WTQEGOB1VHr1Q4FuPl"	"2019-12-13"	"Golden"	88
"0u2P5u6lvoDfwTYjAADbn4"	"2018-04-19"	"lovely (with Khalid)"	88
"285pBltuF7vW8TeWk8hdRR"	"2018-12-10"	"Lucid Dreams"	88
"2b8fOow8UzyDFAE27YhOZM"	"2019-09-20"	"Memories"	88
"0lizgQ7Qw35od7CYaoMBZb"	"2014-11-24"	"Santa Tell Me"	88
"2U5WueTLIK5WJLD7mvDODv"	"2020-07-10"	"Wishing Well"	88
"0A1hoCfMLkiAgvhWkkucJa"	"2020-11-20"	"Body"	88
"4RJz8NfIe09gpKMiRUWKhJ"	"2020-08-21"	"Parce (feat. Justin Quiles)"	88
"55Am8neGJkdj2ADaM3aw5H"	"2016-10-28"	"Train Wreck"	88
"7hxHWCCAIIxFLCzvDgnQHX"	"2020-08-28"	"Lemonade (feat. Gunna, Don Toliver & NAV)"	88
"1xQ6trAsedVPCdbtDAmk0c"	"2020-06-11"	"Savage Love (Laxed - Siren Beat)"	88
"7x4ASXYEKfQBCewcZhK776"	"2020-07-10"	"Ay, DiOs Mío!"	88
"4uoR6qeWeuL4Qeu2qJzkuG"	"2020-07-29"	"Hawái"	88
"3GtnId3Cm1Xa6joCj08nzW"	"2020-08-14"	"Jeans"	88
"4HBZA5flZLE435QTztThqH"	"2020-05-08"	"Stuck with U (with Justin Bieber)"	87
"1yoMvmasuxZfqHEipJhRbp"	"2020-08-21"	"Hawái"	87
"3eekarcy7kvN4yt5ZFzltW"	"2019-10-04"	"HIGHEST IN THE ROOM"	87
"2Fxmhks0bxGSBdJ92vM42m"	"2019-03-29"	"bad guy"	87
"5KCbr5ndeby4y4ggthdiAb"	"2020-10-02"	"Wonder"	87
"2r6OAV3WsYtXuXjvJ1lIDi"	"2020-07-20"	"Hello (feat. A Boogie Wit da Hoodie)"	87
"7B3z0ySL9Rr0XvZEAjWZzM"	"2019-08-02"	"Sofia"	87
"68mrW6gXHgupgSiDHgaDi5"	"2020-11-20"	"Polvo"	87
"6Hj9jySrnFppAI0sEMCZpJ"	"2019-03-08"	"Robbery"	87
"7k4t7uLgtOxPwTpFmtJNTY"	"2019-11-07"	"Tusa"	87
"1zLBsSVxETQOfINOLYvT5m"	"2020-11-02"	"GIRL LIKE ME"	87
"3jjujdWJ72nww5eGnfs2E7"	"2019-12-13"	"Adore You"	87
"0GzuHFG4Ql6DoyxFRnIk3F"	"2020-11-05"	"Hawái - Remix"	87
"5YSHygGN9D0mID1NsVd5my"	"2020-12-08"	"Reminds Me Of You"	87
"1ZMiCix7XSAbfAJlEZWMCp"	"2019-12-13"	"Falling"	87
"3UoULw70kMsiVXxW0L3A33"	"2020-10-30"	"pov"	87
"0t1kP63rueHleOhQkYSXFY"	"2020-08-28"	"Dynamite"	87
"6gBFPUFcJLzWGx4lenP6h2"	"2016-09-16"	"goosebumps"	87
"4VXIryQMWpIdGgYR4TrjT1"	"2018-12-10"	"All Girls Are The Same"	87
"1FP9s72rDYty6mfoOEYKnE"	"2020-10-16"	"All We Got (feat. KIDDO)"	87
"5rZlwNFl01HqLWBQGryKSm"	"2020-07-03"	"Mood Swings (feat. Lil Tjay)"	87
"6EDO9iiTtwNv6waLwa1UUq"	"2020-07-17"	"POPSTAR (feat. Drake)"	87
"7kDUspsoYfLkWnZR7qwHZl"	"2020-09-25"	"my ex's best friend (with blackbear)"	87
"0AUvWawuP0ibk4SQ3sIZjk"	"2020-07-09"	"Daisy"	87
"2EjXfH91m7f8HiJN1yQg97"	"1964-10-19"	"Rockin' Around The Christmas Tree"	87
"5E30LdtzQTGqRvNd7l6kG5"	"2015-10-30"	"Daddy Issues"	87
"0pqnGHJpmpxLKifKRmU6WP"	"2017-06-23"	"Believer"	87
"7m9OqQk4RVRkw9JJdeAw96"	"2017-08-25"	"Jocelyn Flores"	87
"5uCax9HTNlzGybIStD3vDh"	"2016-10-28"	"Say You Won't Let Go"	86
"2kJwzbxV2ppxnQoYw4GLBZ"	"2019-10-17"	"If the World Was Ending - feat. Julia Michaels"	86
"2tnVG71enUj33Ic2nFN6kZ"	"2019-07-26"	"Ride It"	86
"30bqVoKjX479ab90a8Pafp"	"2019-04-19"	"Star Shopping"	86
"4Lt6GXGzYsa1tgkv3nGSTm"	"2020-11-20"	"Love Not War (The Tampa Beat)"	86
"0tgVpDi06FyKpA1z0VMD4v"	"2017-03-03"	"Perfect"	86
"6fmQjRuo7XvRFCK2qex5hQ"	"2020-04-03"	"Mi Cuarto"	86
"2xLMifQCjDGFmkHkpNLD9h"	"2018-08-03"	"SICKO MODE"	86
"0ofHAoxe9vBkTCp2UQIavz"	"1977-02-04"	"Dreams - 2004 Remaster"	86
"696DnlkuDOXcMAnKlTgXXK"	"2019-10-10"	"ROXANNE"	86
"3ee8Jmje8o58CHK66QrVC2"	"2018-03-16"	"SAD!"	86
"3ZCTVFBt2Brf31RLEnCkWJ"	"2019-11-13"	"everything i wanted"	86
"6HlE9t71z9DjGi7KqSyEpA"	"2020-07-31"	"Deep End"	86
"62aP9fBQKYKxi7PDXwcUAS"	"2019-11-26"	"ily (i love you baby) (feat. Emilee)"	86
"0ri0Han4IRJhzvERHOZTMr"	"2020-07-17"	"At My Worst"	86
"086myS9r57YsLbJpU0TgK9"	"2013-09-09"	"Why'd You Only Call Me When You're High?"	86
"7FIWs0pqAYbP91WWM0vlTQ"	"2020-01-17"	"Godzilla (feat. Juice WRLD)"	86
"6ocbgoVGwYJhOv1GgI9NsF"	"2019-02-08"	"7 rings"	86
