id;name;duration_ms
7lPN2DXiMsVn7XUKtOW1CS;drivers license;242014
3tjFYV6RSFtuktYl3ZtYcq;Mood (feat. iann dior);140526
35mvY5S1H3J2QZyna3TFe0;positions;172325
47EiUVwUp4C9fGccaPuUCS;DÁKITI;205090
7vrJn5hDSXRmdXoR30KgF1;BICHOTA;178947
6Im9k8u9iIzKMrmV7BWtlF;34+35;173711
5vGLcdRuSbUhD8ScwsGSdA;Whoopty;123429
27OeeYzk6klgBh83TSvGMA;WITHOUT YOU;161385
54bFM56PmE4YLRnqpW6Tha;Therefore I Am;174321
2XIc1pqjXV3Cr2BQUGNBck;LA NOCHE DE ANOCHE;203201
45bE4HXI0AwGZXfZtMp8JR;you broke me first;169266
1tkg4EHVoqnhR6iFEXb60y;What You Know Bout Love;160000
6f3Slt0GbA2bPZlz0aIFXN;The Business;164000
3VvA1wSxukMLsvXoXtlwWx;Hecha Pa' Mi;186133
6zFMeegAMYQo0mt8rXtrli;HOLIDAY;154998
4Oun2ylbjFKMPTiaSbbCih;WAP (feat. Megan Thee Stallion);187541
4y4spB9m0Q6026KfkAvy9Q;Lonely (with benny blanco);149297
31qCy5ZaophVA81wtlwLc4;Anyone;190779
2Z8yfpFX0ZMavHkcIeHiO1;Monster (Shawn Mendes & Justin Bieber);178994
3YJJjQPAbDT7mGpX3WtQ9A;Good Days;279204
7ndTONDDRFGiPnnhOzOXxq;La Nota;216107
7uoFMmxln0GPXQ0AcCBXRq;Snowman;165907
0PvFJmanyNQMseIFrU708S;For The Night (feat. Lil Baby & DaBaby);190476
4xqrdfXkTW4T0RauPLv3WA;Heather;198040
7ytR5pFWmSjzHJIeQkgog4;ROCKSTAR (feat. Roddy Ricch);181733
6UelLqGlWMcVH1E5c4H7lY;Watermelon Sugar;174000
4saklk6nie3yiGePpBwUoc;Dynamite;199054
249gnXrbfmV8NG6jTEMSwD;Life Goes On;207481
6cx06DFPPHchuUAcTxznu9;Head & Heart (feat. MNEK);166028
1xK1Gg9SxG8fy2Ya373oqb;Bandido;232853
4MzXwWMhyBbmu6hOcLVD49;DÁKITI;205090
5RubKOuDoPn5Kj5TLVxSxY;TE MUDASTE;130014
0E4Y1XIbs8GrAT1YqVy6dq;Afterglow;185487
5u1n1kITHCxxp8twBcZxWy;Holy (feat. Chance The Rapper);212093
35UUpTmrcFXNIVIN26ujXl;Relación - Remix;247308
463CkQjx2Zk1yXoBuierM9;Levitating (feat. DaBaby);203064
02kDW379Yfd5PzW5A6vuGt;Lemonade;195429
73nAK3HgQK8dak83Y2WQ8F;Vida de Rico;187427
20McUFi8KCIVdNDLrkTDuZ;Goosebumps;163208
6ft4hAq6yde8jPZY2i5zLr;Paradise (feat. Dermot Kennedy);167903
0bYg9bo50gSsH3LtXe2SQn;All I Want for Christmas Is You;241107
15OjBeqNX3bShsGYQbteRv;La Tóxica;180520
21N4Buj4xsyLb218lYle61;Chica Ideal;183240
7qEHsqek33rTcFNT9PFqLf;Someone You Loved;182161
2QjOHCTQ1Jl3zawyYOpxh6;Sweater Weather;240400
6AGOKlMZWLCaEJGnaROtF9;Put Your Records On;210463
0lx2cLdOt3piJbcaXIV74f;willow;214707
0nbXyq5TXYPCO7pr3N8S4I;The Box;196653
2bgcUk2A3jjKbCJ7KPquTi;Mi Niña;213314
21jGcNKet2qwijlDFuPiPb;Circles;215280
7eJMfftS33KTjuF7lTsMCx;death bed (coffee for your head);173333
0EhpEsp4L0oRGM0vmeaN5e;UN DIA (ONE DAY) (Feat. Tainy);232253
4HYDUMY0xSpeBr0AMY9cUz;La Curiosidad;219048
2SAqBLGA283SUiwJ3xOUVI;Laugh Now Cry Later (feat. Lil Durk);261493
11EnQRgRMJwMAesfkB5pnu;Se Te Nota (with Guaynaa);155825
3H7ihDc1dqLriiWXwsc2po;Breaking Me;166794
59qrUpoplZxbIZxk6X0Bm3;Take You Dancing;190306
5y7DaS3jAc9eZzcSOoUIwU;Una Locura;230693
7D7EH7MGyNHWSkqrszerI1;BEBÉ;198707
7r9ZhitdQBONTFOiJW5mr8;Reloj;231595
2XU0oxnq2qxCpomAAuJY8K;Dance Monkey;209438
5JqZ3oqF00jkT81foAFvqg;Prisoner (feat. Dua Lipa);169333
45S5WTQEGOB1VHr1Q4FuPl;Golden;208907
0u2P5u6lvoDfwTYjAADbn4;lovely (with Khalid);200186
